uuid,slug,name
11e81bbe-9484-8b1a-a866-a0369fe50396,jennifer-lopez-1,Jennifer Lopez
11e81bd1-f54d-6bd4-9d4a-a0369fe50396,the-notorious-b-i-g,The Notorious B.I.G.
11e81bbf-2d1c-3a80-8e0e-a0369fe50396,zayn,ZAYN
11e81bc6-e57d-de24-aae9-a0369fe50396,enrique-iglesias,Enrique Iglesias
11e81bc9-1a14-2c5e-a4e1-a0369fe50396,akon,Akon
67909e2c-d6c7-11e8-a55c-525400009efb,tainy,Tainy
11e81bc8-dfb7-0d60-93ba-a0369fe50396,skrillex,Skrillex
52b77bd8-c367-11e8-8cf4-525400009efb,meduza,Meduza
11e81bd3-560d-fc80-ac27-a0369fe50396,anderson-paak,Anderson .Paak
11e81bc9-9885-88ee-aeb1-a0369fe50396,pnau,Pnau
11e81bc3-9dee-9ab0-adce-a0369fe50396,billy-joel,Billy Joel
11e81bc8-7b83-007e-9e8e-a0369fe50396,ruth-b,Ruth B.
11e81bc8-870f-80fc-88ce-a0369fe50396,luis-fonsi,Luis Fonsi
11e81bbc-3453-fa3e-b393-a0369fe50396,vance-joy,Vance Joy
07f53852-c258-11e8-902f-525400009efb,natanael-cano,Natanael Cano
11e81bc7-854a-7962-852e-a0369fe50396,clean-bandit,Clean Bandit
11e81bbc-7db5-5a74-adca-a0369fe50396,ne-yo,Ne‐Yo
11e81bd1-8d57-3974-a884-a0369fe50396,radiohead,Radiohead
11e81bc4-36fc-920c-ac96-a0369fe50396,the-killers-3,The Killers
11e81bcc-6c7c-b3dc-9552-a0369fe50396,u2-1,U2
11e81bc9-ac75-9c72-985c-a0369fe50396,steve-aoki,Steve Aoki
11e81bbb-7e9e-f108-b6cf-a0369fe50396,r3hab,R3HAB
ab3c6ed6-45f2-11e9-857e-00163ec5a2fb,fifty-fifty-6,Fifty Fifty
11e81bbd-8f8e-d58a-8b3f-a0369fe50396,zion-lennox,Zion & Lennox
11e81bcb-1dc6-39ee-adcf-a0369fe50396,jonas-brothers,Jonas Brothers
11e81bd2-aeb3-174a-b7b5-a0369fe50396,tory-lanez,Tory Lanez
11e81bd1-f96d-38e8-bf95-a0369fe50396,felix-jaehn,Felix Jaehn
11e81bbf-6efa-8312-b5b3-a0369fe50396,nengo-flow,Ñengo Flow
97348c0e-2be7-11e9-9835-549f35141000,junior-h,Junior H
11e81bc8-259c-0ffc-bd49-a0369fe50396,jonas-blue,Jonas Blue
11e81bc3-f441-f3bc-b34a-a0369fe50396,daft-punk,Daft Punk
11e81bc0-14b3-bdf0-bf64-a0369fe50396,lil-durk,Lil Durk
11e81bbc-63f6-daae-ab32-a0369fe50396,vishal-shekhar,Vishal-Shekhar
11e81bbe-7bac-7332-99e9-a0369fe50396,big-sean,Big Sean
11e81bc8-b92d-2382-8d82-a0369fe50396,5-seconds-of-summer,5 Seconds of Summer
11e81bc6-edf3-92c4-9ea5-a0369fe50396,macklemore-ryan-lewis,Macklemore & Ryan Lewis
d61df03c-b8eb-11e8-a419-525400009efb,fuerza-regida,Fuerza Regida
72f06393-8692-4b06-88e8-f9b67223f384,newjeans,NewJeans
ca78f6fd-2587-46f7-b4fd-f3d3a73866d0,jid,JID
11e81bca-9003-5cf4-bdf7-a0369fe50396,alesso,Alesso
11e81bbe-9f44-2a1a-bf16-a0369fe50396,pink-floyd,Pink Floyd
11e83fef-0084-1e62-a933-aa1c026db3d8,summer-walker-2,Summer Walker
11e81bca-5866-1db8-a31d-a0369fe50396,nelly-furtado,Nelly Furtado
11e81bbb-52a9-0a7a-be8c-a0369fe50396,justin-quiles,Justin Quiles
11e81bc0-b5aa-9db4-a77e-a0369fe50396,melanie-martinez,Melanie Martinez
7935b834-d3b0-11e8-a3bb-549f35141000,camilo-5,Camilo
19946ab0-efba-4ff2-a4db-318961ad6626,grupo-frontera-1,Grupo Frontera
b3090e86-c658-11e8-85c7-549f35141000,maria-becerra-1,Maria Becerra
11e81bca-ce54-2eb6-8144-a0369fe50396,bastille-2,Bastille
11e81bd0-ee0f-2980-a7dd-a0369fe50396,foo-fighters,Foo Fighters
